Wilayah;Vivo;Oppo;Samsung;Iphone;Xiaomi,,,,,
Lampung;21%;29%;23%;19%;8%,,,,,
Sulawesi Barat;25%;24%;22%;23%;6%,,,,,
Sulawesi Tenggara;24%;24%;24%;24%;24%,,,,,
Sulawesi Selatan;19%;22%;25%;27%;7%,,,,,
Sumatera Selatan;20%;26%;24%;23%;8%,,,,,
Riau;20%;23%;27%;22%;8%,,,,,
Sumatera Utara;20%;24%;28%;21%;7%,,,,,
Sulawesi Tengah;20%;24%;26%;23%;7%,,,,,
Kepulauan Bangka Belitung;20%;23%;27%;22%;8%,,,,,
Kalimantan Tengah;20%;22%;27%;24%;7%,,,,,
Kalimantan Barat ;19%;26%;24%;24%;7%,,,,,
Kalimantan Selatan;18%;21%;27%;27%;7%,,,,,
Bengkulu;17%;28%;24%;23%;8%,,,,,
Jawa Timur ;17%;25%;29%;21%;8%,,,,,
Jawa Tengah;17%;24%;30%;21%;8%,,,,,
Kalimantan Timur;17%;19%;29%;27%;8%,,,,,
Papua;19%;18%;32%;26%;5%,,,,,
Jawa Barat;16%;23%;31%;21%;9%,,,,,
Sumatera Barat;17%;23%;27%;25%;8%,,,,,
Kalimantan Utara;17%;23%;29%;25%;6%,,,,,
Papua Barat;21%;19%;29%;25%;6%,,,,,
Maluku Utara;18%;22%;26%;28%;6%,,,,,
Banten;16%;21%;29%;24%;10%,,,,,
Aceh;15%;21%;29%;24%;10%,,,,,
Sulawesi Utara;13%;23%;31%;26%;7%,,,,,
Jambi;15%;29%;24%;24%;8%,,,,,
Kepulauan Riau;13%;18%;30%;30%;9%,,,,,
Nusa Tenggara Timur;19%;21%;32%;20%;8%,,,,,
Daerah Khusus Ibukota Jakarta;12%;18%;33%;26%;11%,,,,,
Maluku;19%;19%;28%;28%;6%,,,,,
Nusa Tenggara Barat;14%;24%;30%;24%;8%,,,,,
Gorontalo;14%;20%;32%;24%;10%,,,,,
Daerah Istimewa Yogyakarta;12%;19%;33%;27%;9%,,,,,
Bali;11%;17%;28%;36%;8%,,,,,
